cust,segment,vertical,sub_vertical,country,bookings,purchase
63db41917e3957804b966117549da111,Commercial,Professional Services,Other (Professional Services),UNITED KINGDOM,6854,TRUE
24f2949a6226afadda40afae1e522e93,Commercial,Professional Services,Other (Professional Services),UNITED STATES,25222,TRUE
8e787ceaf0b7d32fdaeec1761520989b,Enterprise,Manufacturing,Consumer Products Manufacturing,BRAZIL,10560,FALSE
2a80b489f433cb59f574400447af84ff,Commercial,Manufacturing,Discrete Manufacturing,UNITED STATES,5083,FALSE
8ce2f074f28034cda776e64ac5755de0,Commercial,Retail,Other (Retail),CANADA,12162,FALSE
87d1ecd9de2081e3a0054133ceae834b,Enterprise,Retail,Other (Retail),UNITED STATES,2495,FALSE
c4b2d63e3731d209fe60b1fbc32c1e71,Commercial,Manufacturing,Discrete Manufacturing,UNITED KINGDOM,271320,TRUE
2c709f5f4dfb2eda425ba7b14b9fdd89,Commercial,Manufacturing,Discrete Manufacturing,BRAZIL,14979,FALSE
c71a50934b2ac4532cb1c4362dca36e8,Commercial,Manufacturing,Discrete Manufacturing,FRANCE,52811,FALSE
87a550cc2354b8482cb0c7a3029ef324,Commercial,Wholesale/Distribution,Wholesale/Distribution,UNITED STATES,4568,TRUE
28eec7a4698908f10cd92a4d742b4300,Commercial,Wholesale/Distribution,Wholesale/Distribution,UNITED STATES,3275,FALSE
6d8a48484f03787b3b48c879c564ff23,Commercial,Wholesale/Distribution,Wholesale/Distribution,UNITED STATES,2435,TRUE
e27c54451df2cd5dd39a64bd635b1b4a,Commercial,Wholesale/Distribution,Wholesale/Distribution,CANADA,65854,FALSE
74c6209e80aae788e873cf892bd1e6b6,Commercial,Manufacturing,Hi-tech/Computers Manufacturing,CHINA,2945,FALSE
017f386f392c16d44c6fcfb655c38a12,Commercial,Professional Services,Construction/Engineering,USA,1881,FALSE
66d4a8ef8f981e96d3323f97d126a94f,Commercial,Professional Services,Other (Professional Services),UNITED STATES,28689,FALSE
2b5195bbc7f5393c79e3001b8835ab1f,Commercial,Professional Services,Construction/Engineering,UNITED STATES,4329,FALSE
c8e947a65825b9df24e6dfb6d101f997,Commercial,Technical Services,Other (Technical Services),UNITED STATES,5792,TRUE
06d97fc6c855e1f8bfb35e75017df87c,Commercial,Professional Services,Consulting Non-Technical,UNITED STATES,59449,FALSE
76b80795e2869208e31da21074622dd5,Commercial,Professional Services,Membership organizations,USA,11695,FALSE
886d3b7f06036353c3faccfe5681a431,Commercial,Professional Services,Membership organizations,GERMANY,7905,FALSE
b6c4b5c44f3dc169f85a1b1b09dfe2a7,Enterprise,Professional Services,Other (Professional Services),UNITED STATES,160885,TRUE
c5ad07b77d369937d4c58c8031cc0c5f,Enterprise,Government,Federal/Central Government,CHINA,4265,FALSE
5a1831102b8e30fed1f1772ae006e7c4,Commercial,Technical Services,Other (Technical Services),UNITED STATES,6965,TRUE
fc382e8f8371865cfcb87c648451ff5a,Commercial,Technical Services,Other (Technical Services),UNITED STATES,3953,TRUE
259482815febaa993f651080cb6d12ac,Commercial,Technical Services,Other (Technical Services),UNITED STATES,2324,TRUE
285e8cfe9b1e8bc14cb102f4b01f50a0,Commercial,Technical Services,Other (Technical Services),UNITED STATES,13265,FALSE
99373502862ce454558c24ec27c53bbc,Commercial,Technical Services,Other (Technical Services),UNITED STATES,3967,TRUE
18544a5f4875f1c34a715b6be91e0d7a,Commercial,Technical Services,Other (Technical Services),CANADA,23709,TRUE
96103d8b10162cb5f1ba905497a0528d,Commercial,Retail,Other (Retail),UNITED STATES,1748,FALSE
7cd7b612c8093afaf4c64a7cb4088bdf,Commercial,Technical Services,Other (Technical Services),CANADA,18386,TRUE
628bbc868ca7c2b9115099a835632b75,Commercial,Professional Services,Other (Professional Services),USA,1093,FALSE
81b5705bd8dc0cc058c55d3359708bd4,Commercial,Professional Services,Other (Professional Services),CANADA,3566,TRUE
f03412a4ec8648e39eccbaab144cc873,Commercial,Manufacturing,Consumer Products Manufacturing,UNITED KINGDOM,345309,FALSE
c5bc6b48fcaba926321d940888b40071,Commercial,Manufacturing,Consumer Products Manufacturing,UNITED STATES,1747,TRUE
06cfb0975425f3335f25a7c875ec4f17,Commercial,Financial Services,"Other (Credit Card, mortgage, financing, etc.)",UNITED STATES,43961,TRUE
4ee3fa24ebd55dca40fb858e509042f5,Commercial,Wholesale/Distribution,Wholesale/Distribution,UNITED STATES,72959,FALSE
e3817b3d7b39062dd82c0c73d94ccbfc,Commercial,Manufacturing,Discrete Manufacturing,GERMANY,8927,FALSE
e7fd1ea95af078333cb29383e25adb03,Commercial,Retail,"Consumer Services(dry cleaners,video rental,etc)",CANADA,23301,FALSE
647cdf11f33369e1eb76e845d597358e,Commercial,Wholesale/Distribution,Wholesale/Distribution,AUSTRALIA,16693,FALSE
